id,tipo_geometria,num_puntos,longitud,latitud,longitud_final,latitud_final,centro_longitud,centro_latitud,area_aproximada,cuadrante
123,LineString,4,270466.8955,8663714.9168,270380.5364,8663773.5682,270423.342812,8663743.689116,,NE
124,LineString,10,270755.062,8663563.4527,270466.8955,8663714.9168,270609.683917,8663636.917472,,NE
125,LineString,3,271089.2886,8663372.216,271035.2381,8663399.9868,271062.061601,8663385.710892,,NE
126,LineString,4,271035.2381,8663399.9868,270755.062,8663563.4527,270895.104684,8663481.579698,,NE
127,LineString,14,271529.5776,8663237.4256,271089.2886,8663372.216,271311.913143,8663315.330327,,NE
128,LineString,4,271996.5771,8663024.0757,271529.5776,8663237.4256,271764.77728,8663134.453353,,NE
129,LineString,4,272386.4814,8662843.3447,271996.5771,8663024.0757,272190.346131,8662931.033289,,NE
130,LineString,2,272988.2942,8662554.6516,272960.4592,8662570.0558,272974.3767,8662562.3537,,NE
131,MultiLineString,0,,,,,,,,Unknown
132,MultiLineString,0,,,,,,,,Unknown
133,LineString,13,276119.0877,8676362.402,276340.9078,8677051.9024,276232.254176,8676706.307801,,NE
134,LineString,30,276656.9143,8683624.0566,275707.9406,8684012.1746,276195.174452,8683841.853967,,NE
135,LineString,14,276999.0306,8685243.5029,277390.3299,8684792.5952,277229.172232,8685036.395985,,NE
136,LineString,3,272496.7933,8662799.9316,272386.4814,8662843.3447,272440.647863,8662819.237359,,NE
137,LineString,52,300749.7389,8672118.8914,299573.2321,8672147.5872,300180.693914,8671805.554301,,NE
138,LineString,28,299657.7123,8672050.9473,300503.9223,8672499.1676,300099.449079,8672244.476015,,NE
139,LineString,5,272702.1158,8662683.5703,272496.7933,8662799.9316,272598.103444,8662739.408495,,NE
140,LineString,24,280182.997,8686788.2069,279152.0985,8687608.0918,279657.367707,8687182.608765,,NE
141,LineString,8,281282.1404,8686161.8413,280182.997,8686788.2069,280731.086727,8686472.467432,,NE
142,LineString,168,271390.5051,8676870.3582,268210.828,8679404.4863,269756.786969,8678164.758216,,NE
143,LineString,86,273438.493,8663934.2302,273455.9431,8666407.0105,273689.356775,8665171.594257,,NE
144,LineString,9,291125.4027,8663279.9725,291548.4364,8663211.1069,291336.636038,8663243.019911,,NE
145,LineString,3,291548.4364,8663211.1069,291799.8413,8663209.5671,291674.140812,8663210.791074,,NE
146,LineString,15,286372.3724,8670055.5066,287264.0885,8668503.4167,286842.560235,8669295.693239,,NE
147,LineString,7,287264.0885,8668503.4167,287768.9965,8667332.0736,287520.241849,8667919.366779,,NE
148,LineString,10,290400.657,8663310.6501,291008.9998,8663286.5614,290704.694789,8663295.823301,,NE
149,LineString,2,291008.9998,8663286.5614,291125.4027,8663279.9725,291067.20125,8663283.26695,,NE
150,LineString,22,291799.8413,8663209.5671,294229.5365,8663205.9078,293014.921275,8663205.019287,,NE
151,LineString,18,294229.5365,8663205.9078,294685.7347,8663310.5367,294458.15319,8663275.428197,,NE
152,LineString,15,281017.3316,8669502.5201,280223.9963,8669443.1833,280616.965351,8669438.673476,,NE
153,LineString,23,298580.3827,8671869.7924,299745.36,8671865.8138,299159.130546,8671843.568966,,NE
154,LineString,29,303340.4514,8634282.4213,305289.9027,8636197.7819,304333.073533,8635238.764662,,NE
155,LineString,37,275707.9406,8684012.1746,274537.6303,8684589.4124,275038.612888,8684261.060228,,NE
156,LineString,26,275043.5486,8683282.2248,276018.9895,8682454.6163,275508.069982,8682857.277463,,NE
157,LineString,24,274633.6544,8680332.7512,274958.7234,8678653.7599,274803.891191,8679492.500084,,NE
158,LineString,37,274958.7234,8678653.7599,275732.228,8675181.0282,275366.896106,8676922.363148,,NE
159,LineString,27,276959.1487,8660630.6879,277983.8186,8659994.8119,277474.667989,8660336.125924,,NE
160,LineString,67,279661.9405,8667924.4209,280945.9386,8669114.1746,280452.128695,8668382.284992,,NE
161,LineString,2,283014.429,8660347.2598,284697.091,8660477.9612,283855.76,8660412.6105,,NE
162,LineString,7,285700.6329,8660761.2458,286398.9202,8661282.6477,286049.993513,8661021.655494,,NE
163,LineString,7,280293.5065,8661073.9151,281211.1384,8659889.0233,280771.851759,8660496.788514,,NE
164,LineString,2,282038.5429,8658663.811,282103.3388,8658568.3823,282070.94085,8658616.09665,,NE
165,LineString,3,282103.3388,8658568.3823,282229.3411,8658387.6627,282167.058408,8658478.525362,,NE
166,LineString,2,290111.1564,8663652.8355,290209.6527,8663422.9434,290160.40455,8663537.88945,,NE
167,LineString,20,290209.6527,8663422.9434,290400.657,8663310.6501,290292.067274,8663345.216709,,NE
168,LineString,30,273809.6968,8668628.036,274042.2566,8670279.5462,273949.320528,8669453.291274,,NE
169,LineString,49,273455.9431,8666407.0105,273809.6968,8668628.036,273796.176567,8667478.278648,,NE
170,LineString,39,269952.8705,8692546.4297,270926.3232,8691857.7256,270606.924915,8692368.277947,,NE
171,LineString,69,270926.3232,8691857.7256,272416.2369,8691456.3688,271761.291894,8691771.716586,,NE
172,LineString,19,272416.2369,8691456.3688,272622.4481,8691072.9262,272554.448646,8691289.122142,,NE
173,LineString,20,274074.0427,8682959.5251,274233.0663,8682831.8691,274155.304852,8682895.488129,,NE
174,LineString,60,273894.0507,8684464.8423,274074.0427,8682959.5251,273950.692993,8683722.474483,,NE
175,LineString,9,272422.2411,8671283.8711,273268.0215,8671854.8322,272824.985981,8671609.10659,,NE
176,LineString,31,274233.0663,8682831.8691,274112.6075,8681722.4192,274173.943984,8682280.506146,,NE
177,LineString,3,271672.5518,8674620.2984,272872.4704,8674520.8763,272272.441591,8674564.921741,,NE
178,LineString,4,272872.4704,8674520.8763,273688.809,8674445.3502,273280.657175,8674483.301266,,NE
179,LineString,5,276026.0266,8673832.7994,275244.8685,8673700.9541,275635.684482,8673765.462889,,NE
180,LineString,7,279714.1654,8658767.5719,282229.3411,8658387.6627,280971.670632,8658577.176819,,NE
181,LineString,42,280945.9386,8669114.1746,281946.4361,8670628.9491,281343.575099,8669924.613504,,NE
182,LineString,20,280945.9386,8669114.1746,280936.9529,8668631.3271,280968.069008,8668872.579805,,NE
183,LineString,2,280936.9529,8668631.3271,280911.7715,8668530.6018,280924.3622,8668580.96445,,NE
184,LineString,5,280911.7715,8668530.6018,280868.796,8668249.5506,280881.173886,8668390.883678,,NE
185,LineString,11,280868.796,8668249.5506,280923.5891,8668135.7409,280891.568622,8668190.301143,,NE
186,LineString,121,308085.0771,8675703.432,313850.3434,8679039.0932,311002.77873,8677340.715241,,NE
187,LineString,4,282280.8127,8665640.611,282613.722,8665599.3533,282446.973031,8665617.855007,,NE
188,LineString,111,275383.9955,8676859.3404,277941.7568,8683828.0968,276418.701664,8680388.150104,,NE
189,LineString,8,277983.8186,8659994.8119,279080.7191,8660045.4263,278532.326853,8660019.349839,,NE
190,LineString,3,279080.7191,8660045.4263,279498.6142,8660075.0955,279289.737815,8660059.260481,,NE
191,LineString,4,279498.6142,8660075.0955,280324.2615,8660139.6175,279911.412212,8660107.700683,,NE
192,LineString,5,280324.2615,8660139.6175,281007.6864,8660192.0977,280665.973047,8660165.877841,,NE
